size,color,text,rate,ID,Unix data
XL,GRAY,he loved this shirt so we ordered another one. great fabric. Good quality,5,279457902,1646756774
L,GRAY,Good quality,5,279457902,1628050923
2XL,MINT GREEN,this it's a wonderful shirt.  I wear a women's plus 3x USA size.   the fabric is lightweight & washed/dried well on low.,5,366070804,1622966735
L,LIGHT GRAY,"Nice, good quality pullover. Hubby loves it! It was received on time. I highly recommend this jumper/sweater; it's do versatile and makes an excellent wardrobe essential for every man!",5,475244115,1636998436
M,multicolor,Nice,5,279332801,1562197951
S,multicolor,Cute,5,471246806,1617853155
L,YELLOW,Received it on timeNiceCute and fucking hilarious because honestly this sweater is just bananas and i love it,5,256935201,1633650929
L,DARK GRAY,"Fantastic pullover! Very soft and comfortable, very warm and totally versatile; it's great for many occasions.My husband loves this. Such a bargain and quickly delivered too. Thank you",5,475244311,1673690802
3XL,multicolor,"My sister loves it, and it fits just perfectly on her!! (3x)",5,471246806,1607240129
XXL,DARK GRAY,Good quality,5,475244311,1669399206
L,multicolor,"Nice, Received it on time, Good quality,Satisfactory Customer Service",4,471248804,1675410887
S,multicolor,Love it,5,471254306,1602097666
S,multicolor,Nice Cute Received it on timeparfait exactement ce que j'attendais,5,471247902,1617225318
L,LIGHT COFFEE,The hoodie is really nice and the fabric is soft and pleasant. The print quality is amazing! My husband loves it.,5,471054706,1654443606
XL,NEBULA,"I was very satisfied, size is perfect and colors are bright and everything looks good.",5,471602401,1617590201
XS,GRAPHITE BLACK,Good quality,5,473343701,1668891294
S,GRAPHITE BLACK,Amazing beautiful sweatshirt for Xmas presentFits perfectly,5,473343701,1632776610
3XL,BLACK,Received it on timeCuteNice,5,473534303,1639794314
2XL,WHITE,#True to size and fits well##The fabric feels great##Looks exaclty like the pictures##Received the item on time# Got this for my husband and he absolutely loves it. Soft material washes up great,5,473550905,1675981717
L,PURPLE,#True to size and fits well##Looks exaclty like the pictures#,5,473554205,1675497693
M,multicolor,can't wait to get this sweatshirt help the colors are as bright as they look,5,474369406,1612435411
2XL,WHITE,Comfy and husband likes it!,4,473550905,1628430902
L,RED,Love,5,459245106,1605829206
2XL,BLACK,Nice,5,459984004,1638082416
M,WHITE,NiceCuteReceived it on timeSatisfactory Customer ServiceGood quality,5,459443407,1673710000
M,BLACK,Very stylish!,5,459984004,1579931006
M,BROWN BEAR,Very unique.  Fits well,5,459984004,1579930922
M,WHITE,Great,5,459436425,1621731553
2XL,BLACK,this wasn't true to size at all. fits like a small ordered a 2x,5,460264301,1655479849
3XL,multicolor,Got for xmas time quick dry when washed looks good colourful,5,457494206,1656473651
2XL,BLACK,"Took a while to come, but looks exactly like pictures, nice material, fits well, bought as a gift, my friend loves it!",5,460264301,1574658408
L,BLACK,Good quality,5,271386404,1561939342
XL,LAVA RED,Received it on time Satisfactory Customer Service Good quality Cute,5,275722604,1616683467
L,LAVA RED,well... you know I am a blood lover! lol the tongue makes it look like a vampire is about to like my boob but I still find it funny and crazy,5,275722604,1606349996
XL,LAVA RED,it's a good fit and the design is awesome and badass,5,275722604,1572718620
L,LAVA RED,I paid for this sweater and it never came in the mail,5,275722604,1538440859
L,BLACK,"Received it on time.  I had to get a large because medium wasn't available,  but the piece looks just fine",5,275936702,1677582020
L,multicolor,"#True to size and fits well##Looks exaclty like the pictures##Good quality, great buy!##The fabric feels great##Received the item on time#",5,281983404,1668001649
M,BLACK,Super fun print and very comfortable. I wasn't expecting the print to be on the front and the back and the material isn't what I was expecting for a hoodie. I am pleased non the less!,5,281987906,1602557496
M,BLACK,Perfect!,5,275936702,1590091493
L,multicolor,Good quality,5,281983404,1603086451
MIDNIGHT BLUE,2XL,very small,5,282790505,1641772110
multicolor,M,very small,5,282791103,1641772100
MEDIUM SEA GREEN,M,Jolie amusant mais chaud et fantastique comme chaque achat,5,286509804,1641131448
multicolor,2XL,nice and comfy,5,282791103,1577155156
MEDIUM SEA GREEN,XL,"Great fun for christmas party, nice and comfy for night out",5,286509804,1622479984
MEDIUM SEA GREEN,M,Purchased for the three boys in my family and they absolutely loved em.,5,286509804,1612916804
MEDIUM SEA GREEN,M,Son is so I in love with it. He’s been wearing it for a week straight now which includes sleeping in it.,5,286509804,1609848934
L,DARK GRAY,"#Looks exaclty like the pictures##Good quality, great buy!##Received the item on time##The fabric feels great#  Very nice, fits a bit small though and great material.",5,276447824,1658782980
2XL,DARK GRAY,NiceCuteReceived it on timeGood quality,5,276447824,1626892248
